City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,lebu,CL,287.01,-37.6167,-73.65,Hostal Las Lilas
1,domoni,KM,301.15,-12.2569,44.5319,Al Djadid
2,kenai,US,268.18,60.5544,-151.2583,Aspen Extended Stay Suites
3,lasa,IT,277.85,46.6166,10.7002,Pension Feldgärtenhof
4,longkou,CN,271.81,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
5,ribeira grande,PT,288.07,38.5167,-28.7,Quinta da Meia Eira
6,biak,ID,302.21,-0.9131,122.8766,Penginapan Kim
7,uyemskiy,RU,254.29,64.4743,40.8524,Turkompleks Malyye Karely
8,barra do garcas,BR,295.93,-15.89,-52.2567,Pousada Tropical
10,mataura,NZ,288.42,-46.1927,168.8643,Ellie's Villa
11,talnakh,RU,251.25,69.4865,88.3972,Talnakh Hotel
12,dikson,RU,254.05,73.5069,80.5464, 
14,hobart,AU,295.94,-42.8794,147.3294,Mantra on Collins Hobart
15,naze,JP,286.66,28.3667,129.4833,Shishime Hotel
16,camacupa,AO,289.07,-12.0167,17.4833, 
17,bukama,CD,291.66,-9.2,25.85, 
18,ayagoz,KZ,259.64,47.9714,80.4392,Gostinitsa Nur
19,denpasar,ID,302.99,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
20,mehamn,NO,266.17,71.0357,27.8492,Mehamn Arctic Hotel AS
21,cabo san lucas,MX,290.9,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,ushuaia,AR,279.96,-54.8,-68.3,Albatross Hotel
23,albany,US,263.23,42.6001,-73.9662, 
24,bathsheba,BB,297.49,13.2167,-59.5167,Atlantis Hotel
25,luena,AO,289.89,-11.7833,19.9167,Hotel Kandamba
26,marsaxlokk,MT,287.08,35.8419,14.5431,Water's Edge
27,castro,BR,291.06,-24.7911,-50.0119,CHACARA BAILLY
28,yellowknife,CA,240.68,62.456,-114.3525,The Explorer Hotel
29,los llanos de aridane,ES,287.66,28.6585,-17.9182,Valle Aridane
30,ancud,CL,284.94,-41.8697,-73.8203,Hotel Arena Gruesa
32,khatanga,RU,235.88,71.9667,102.5,"""Khatanga"""
33,bethel,US,271.51,41.3712,-73.414,Courtyard by Marriott Danbury
34,chuy,UY,293.17,-33.6971,-53.4616,Nuevo Hotel Plaza
35,cabinda,AO,297.44,-5.55,12.2,Hotel Maiombe
36,east london,ZA,291.67,-33.0153,27.9116,Tu Casa
37,hilo,US,296.37,19.7297,-155.09,Hilo Hawaiian Hotel
40,barrow,US,246.16,71.2906,-156.7887,King Eider Inn
41,okhotsk,RU,259.55,59.3833,143.3, 
42,longyearbyen,SJ,262.06,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
43,tilichiki,RU,255.47,60.4667,166.1, 
44,krasnyy yar,RU,273.13,46.5331,48.3456,Cottege near Ufa
45,kapaa,US,297.66,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,nanortalik,GL,262.21,60.1432,-45.2371,Hotel Kap Farvel
47,salalah,OM,296.2,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
48,kodiak,US,277.88,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
49,busselton,AU,314.84,-33.65,115.3333,Observatory Guest House
50,hermanus,ZA,291.37,-34.4187,19.2345,Misty Waves Boutique Hotel
54,qaanaaq,GL,256.23,77.484,-69.3632,Qaanaaq Hotel
56,sao joao da barra,BR,297.11,-21.6403,-41.0511,Pousada Porto De Canoas
57,chara,RU,252.82,56.9064,118.2631, 
58,punta arenas,CL,281.21,-53.15,-70.9167,Hotel Hain
59,coos bay,US,282.59,43.3665,-124.2179,Best Western Holiday Hotel
61,avarua,CK,300.18,-21.2078,-159.775,Paradise Inn
62,chernenko,RU,267.51,44.365,39.3103, 
63,bredasdorp,ZA,292.77,-34.5322,20.0403,Bredasdorp Country Manor
64,zaragoza,ES,283.16,41.6561,-0.8773,INNSiDE Zaragoza
65,mahroni,IN,291.76,24.5862,78.7288,Sahu Samaj Dharmashala
66,betong,TH,303.87,5.7743,101.0723,New Cathay Hotel
67,northampton,US,270.21,40.8754,-75.2499,Gateway Motel
68,victoria,HK,292.14,22.2855,114.1577,Mini Hotel Central
69,san patricio,US,277.49,28.017,-97.5169,"Motel 6 Sinton, TX"
70,bom jesus,BR,295.93,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
71,airai,TL,293.4,-8.9266,125.4092, 
72,cherskiy,RU,237.82,68.75,161.3,Gostinitsa
73,klaksvik,FO,274.66,62.2266,-6.589,Airbnb rooms
74,sobolevo,RU,256.44,54.4299,31.8996, 
75,mogadishu,SO,297.08,2.0371,45.3438,Hotel Juba
76,puerto del rosario,ES,292.01,28.5004,-13.8627,Hotel JM Puerto del Rosario
77,geraldton,AU,317.38,-28.7667,114.6,Broadwater Mariner Resort
78,mabaruma,GY,295.34,8.2,-59.7833,Monty Brooms Guest House
79,bluff,NZ,288.6,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
80,lagoa,PT,287.35,39.05,-27.9833,Casa Das Faias
83,upernavik,GL,254.42,72.7868,-56.1549,Gina's Guesthouse - Upernavik
84,port hardy,CA,280.79,50.6996,-127.4199,Airport Inn-Port Hardy
85,namatanai,PG,302.6,-3.6667,152.4333,Seagulls Inn Namatani
86,hami,CN,271.89,42.8,93.45,Laoyutang Resort
87,mayahi,NE,286.01,13.9553,7.6712, 
88,fortuna,US,280.66,40.5982,-124.1573,Super 8 by Wyndham Fortuna
89,tasiilaq,GL,266.67,65.6145,-37.6368,The Red House
90,kurumkan,RU,257.01,54.3,110.3,Ilikchin
91,mayumba,GA,297.35,-3.432,10.6554,LIKWALE LODGE
92,coquimbo,CL,291.0,-29.9533,-71.3436,Hostel Del Puerto
93,payson,US,271.71,40.0444,-111.7321,Quality Inn Payson I-15
94,kruisfontein,ZA,291.42,-34.0033,24.7314,Oyster Bay House Rental
95,kaitangata,NZ,286.47,-46.2817,169.8464,Kaitangata Motor Camp
96,muyezerskiy,RU,264.92,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
97,rikitea,PF,299.25,-23.1203,-134.9692,People ThankYou
98,shelburne,CA,259.09,44.0787,-80.2041,The Retreat at the Farm
99,saskylakh,RU,247.65,71.9167,114.0833, 
100,sawtell,AU,298.33,-30.3833,153.1,The Bungalow Sawtell
101,careiro da varzea,BR,298.49,-3.2003,-59.8119,POUSADA DA ALDENORA
102,genhe,CN,259.34,50.7833,121.5167,Companionship Hotel
103,atuona,PF,299.14,-9.8,-139.0333,Villa Enata
104,sibolga,ID,302.06,1.7427,98.7792,Hotel Syariah CN Darussalam
106,roma,US,262.28,43.2128,-75.4557,Wingate By Wyndham Rome
107,encruzilhada do sul,BR,292.61,-30.5439,-52.5219,Conceição Palace Hotel
108,kljajicevo,RS,275.11,45.7704,19.2777,Кућица за одмор код Егића
109,beloha,MG,300.67,-25.1667,45.05, 
110,najran,SA,294.51,17.4924,44.1277,محمد هادي ال فطيح
111,aksarka,RU,254.33,66.5606,67.7975, 
112,ponta do sol,PT,290.38,32.6667,-17.1,Hotel do Campo
113,tuktoyaktuk,CA,243.15,69.4541,-133.0374,End of The Road Ltd.
114,spearfish,US,278.64,44.4908,-103.8594,Travelodge by Wyndham Spearfish
115,husavik,IS,264.1,66.0449,-17.3389,Bjarnabúð
116,dunedin,NZ,284.88,-45.8742,170.5036,Scenic Hotel Southern Cross
117,vaini,TO,298.24,-21.2,-175.2,Keleti Beach Resort
118,nueva loja,EC,294.57,0.0847,-76.8828,Limoncocha Great Hotel
119,tautira,PF,302.04,-17.7333,-149.15,Pension Oaoa
120,chokurdakh,RU,237.83,70.6333,147.9167, 
121,carnarvon,AU,310.19,-24.8667,113.6333,Hospitality Carnarvon
122,kaeo,NZ,296.11,-35.1,173.7833,Bushido Lodge
123,san quintin,MX,286.34,30.4833,-115.95,Don Eddie's Landing
124,zakamensk,RU,262.59,50.3741,103.2863,Gostinitsa Zakamna
125,rocha,UY,291.67,-34.4833,-54.3333,Hotel Arrarte
126,cape town,ZA,291.97,-33.9258,18.4232,Southern Sun Waterfront Cape Town
127,birigui,BR,295.27,-21.2886,-50.34,Birigui Palace Hotel
128,xunchang,CN,279.51,28.4543,104.715,Jiabin Inn
129,alta floresta,BR,294.58,-9.8756,-56.0861,Floresta Amazonica Hotel
131,gibsons,CA,281.88,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
132,jiuquan,CN,266.34,39.7432,98.5174,Jiuquan Hotel
133,doka,SD,291.79,13.5167,35.7667, 
134,esperance,AU,309.06,-33.8667,121.9,Hospitality Esperance
135,codrington,AU,293.87,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
136,turbat,PK,295.04,26.0023,63.044,Mubashar Quarters
138,vao,NC,300.0,-22.6667,167.4833,Hotel Kou-Bugny
139,aljezur,PT,282.81,37.3191,-8.8033,Amazigh Hostel
140,malanje,AO,288.7,-9.5402,16.341,Hotel Ginga
141,tanout,NE,283.99,14.9709,8.8879, 
142,srednekolymsk,RU,237.52,67.45,153.6833, 
143,zhangye,CN,267.85,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
144,puerto cabezas,NI,296.48,14.0351,-83.3888,Cabaña Caribe
145,adrar,MR,289.13,20.5022,-10.0711, 
147,lamont,US,286.04,35.2597,-118.9143,Buena Vista Mobile Home Park
148,wanlaweyn,SO,297.62,2.6185,44.8938,GAASHAAN HOME
149,muros,ES,283.84,42.7762,-9.0603,Apartment Av. Castelao
150,saldanha,ZA,287.18,-33.0117,17.9442,Blue Bay Lodge
151,sao domingos,BR,294.94,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
152,hamilton,US,265.84,39.1834,-84.5333,Six Acres Bed & Breakfast
153,irbit,RU,267.83,57.6705,63.071,Nitsa
154,buraydah,SA,282.4,26.326,43.975,فندق راحة السلام
155,taltal,CL,292.71,-25.4,-70.4833,Residencial Karime
156,apomu,NG,293.74,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
157,touros,BR,299.65,-5.1989,-35.4608,INN NEW HORIZON
158,nyurba,RU,250.2,63.2842,118.3319,"Гостиница ""Comfort"""
159,eureka,US,280.81,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
160,jamestown,US,265.77,42.097,-79.2353,Hampton Inn & Suites Jamestown
161,avera,US,282.08,33.194,-82.5271, 
162,alice springs,AU,299.9,-23.7,133.8833,Desert Palms Alice Springs
163,georgetown,MY,304.2,5.4112,100.3354,Cititel Penang
164,aguimes,ES,291.85,27.9054,-15.4461,Hotel Villa de Aguimes
165,makakilo city,US,297.01,21.3469,-158.0858,Marriott's Ko Olina Beach Club
166,bilibino,RU,251.1,68.0546,166.4372,Gostinitsa Severyanka
167,imeni poliny osipenko,RU,260.27,52.4201,136.4853,Yubileynaya
168,shimoda,JP,282.35,34.6667,138.95,Shimoda Tokyu Hotel
169,sorland,NO,274.04,67.667,12.6934,Sjybrygga fiskecamp
170,portland,US,282.93,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
171,swellendam,ZA,292.36,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
172,remanso,BR,298.76,-9.6179,-42.0831,Hotel Mangueira
173,vanimo,PG,303.16,-2.6741,141.3028,Vahmoneh Lodge Vanimo
174,buluang,PH,301.09,13.3068,123.3425,Enon Beach Resort
176,fortuna foothills,US,286.2,32.6578,-114.4119,Fortuna De Oro RV Park
178,karratha,AU,307.56,-20.7377,116.8463,ibis Styles Karratha
179,starosubkhangulovo,RU,267.11,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
180,provideniya,RU,255.43,64.3833,-173.3, 
181,bagdarin,RU,260.22,54.4333,113.6,Gostevoy Dom Terem
182,mayo,US,275.17,38.8876,-76.5119,Resorts Resource Group International
183,joshimath,IN,280.19,30.5667,79.5667,Shivalik Camps & Resort
184,cidreira,BR,295.37,-30.1811,-50.2056,Hotel Castelo
185,puerto ayora,EC,296.79,-0.7393,-90.3518,Finch Bay Galapagos Hotel
186,marawi,PH,296.84,7.9986,124.2928,Derogongan Residence
187,shache,CN,272.99,38.4167,77.2406,Delong Hotel
188,yerbogachen,RU,256.55,61.2767,108.0108, 
190,new norfolk,AU,295.74,-42.7826,147.0587,The Shingles Riverside Cottages
191,port hedland,AU,308.18,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
192,udachnyy,RU,244.28,66.4167,112.4,Severnoye Siyaniye
193,uspenka,UA,265.84,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
194,belaya gora,RU,236.29,68.5333,146.4167, 
195,nouadhibou,MR,291.14,20.931,-17.0347,El Medina
196,san carlos de bariloche,AR,286.24,-41.1456,-71.3082,Hotel Patagonia
197,lompoc,US,286.69,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
198,aromashevo,RU,267.48,56.8602,68.6375,Gostinitsa
199,kavaratti,IN,298.67,10.5669,72.642,Hotels in Lakshadweep Islands
201,namwala,ZM,291.82,-15.7504,26.4384,Corner Point Lodge
202,port elizabeth,ZA,292.65,-33.918,25.5701,39 On Nile Guest House
203,pombas,CV,293.03,17.1503,-25.0201,Paul Paradis
204,tura,IN,287.23,25.5198,90.2201,Hotel RIKMAN Continental
205,egvekinot,RU,251.31,66.3167,-179.1667, 
206,tiksi,RU,243.06,71.6872,128.8694,Arktika
207,high rock,BS,293.16,26.6208,-78.2833,Hideaway Bahamas Beach Club
208,narsaq,GL,256.27,60.9167,-46.05,Sleep In Narsaq
209,lososina,RU,264.11,48.9975,140.3106,"Хостел ""Пилигрим"""
210,manavalakurichi,IN,302.2,8.1333,77.3,Jebinrio home
211,mahebourg,MU,300.31,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,guerrero negro,MX,288.25,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,port augusta,AU,306.32,-32.5,137.7667,Majestic Oasis Apartments
215,hambantota,LK,301.34,6.1241,81.1185,Bungalow 63
217,vila franca do campo,PT,287.38,37.7167,-25.4333,Pestana Bahia Praia
218,tebingtinggi,ID,305.18,3.3285,99.1625,Hotel Malibou tebing tinggi
219,sicuani,PE,280.06,-14.2694,-71.2261,Wilkamayu Hotel
220,mazatan,MX,297.51,14.8667,-92.45,Jose Luis Villalobos De La Cruz
221,arraial do cabo,BR,297.31,-22.9661,-42.0278,Pousada Porto Praia
222,kavieng,PG,302.01,-2.5744,150.7967,Nusa Island Retreat
223,baependi,BR,292.56,-21.9589,-44.89,Pousada Condado Santa Maria
224,zyryanka,RU,237.9,65.75,150.85, 
225,kyra,RU,263.88,49.5776,111.9753, 
226,beringovskiy,RU,249.31,63.05,179.3167,Beringgorski
228,thompson,CA,242.24,55.7435,-97.8558,Burntwood Hotel
229,gazanjyk,TM,283.36,39.2446,55.5154,Railway motel
230,nome,US,258.19,64.5011,-165.4064,Dredge 7 Inn
231,ubinskoye,RU,263.29,55.3068,79.6802,Gostinitsa Siberia
232,fairbanks,US,259.31,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
233,colonia,DE,277.51,50.9333,6.95,Mauritius Hotel & Therme
234,the valley,AI,297.09,18.217,-63.0578,CeBlue Villas & Beach Resort
235,ishinomaki,JP,275.15,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
236,bunumbu,SL,290.36,8.1667,-10.8667, 
237,baruun-urt,MN,261.89,46.6806,113.2792,Ахмадын амралт сувилал
238,chhatak,BD,292.98,25.0333,91.6667,Hotel Sadi Internationl
239,rio gallegos,AR,283.18,-51.6226,-69.2181,Hotel Santa Cruz
240,esil,KZ,264.7,51.9556,66.4042,Egorkino Hotel
241,norman wells,CA,251.17,65.282,-126.8329,Heritage Hotel
242,lakota,CI,293.97,5.8528,-5.6883,Aziz bah divers
243,itarema,BR,298.97,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
244,marsh harbour,BS,295.86,26.5412,-77.0636,Abaco Beach Resort
245,yulara,AU,303.06,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
246,qaqortoq,GL,256.43,60.7167,-46.0333,Siniffik Inn
247,moguer,ES,284.66,37.2756,-6.8385,Hotel Plaza Escribano
248,malakal,SS,294.48,9.5334,31.6605,Nile Palace Hotel
250,koltubanovskiy,RU,270.63,52.9407,52.0269,"Resort ""Pivol'e"""
251,odweyne,SO,292.73,9.4092,45.064,Eng Hiirey House
252,ereymentau,KZ,262.66,51.6199,73.1033,"Gostinitsa ""Dostyk"""
253,catamarca,AR,292.47,-28.4696,-65.7852,Amerian Catamarca Park Hotel
254,launceston,AU,298.49,-41.45,147.1667,Hotel Grand Chancellor Launceston
255,port blair,IN,303.17,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
258,aykhal,RU,247.43,66.0,111.5, 
260,carcassonne,FR,284.07,43.25,2.1667,Domaine les Magasins
262,asau,RO,268.86,46.4333,26.4,Casa Mika Ciobanus
263,nantucket,US,274.9,41.2835,-70.0995,Jared Coffin House
264,cururupu,BR,296.79,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
265,manono,CD,292.13,-7.3,27.4167,Hotel hewa bora
267,paita,PE,294.72,-5.0892,-81.1144,Hotel Náutico de Paita
268,viedma,AR,289.42,-40.8135,-62.9967,Hotel Cristal
269,botou,CN,274.94,38.0667,116.5667,Hanting Hotel Huanghua City Hall
270,half moon bay,US,286.66,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
271,belmonte,BR,299.43,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
272,bay-khaak,RU,249.41,51.1667,94.5, 
274,ndele,CF,292.71,8.4109,20.6473, 
276,trairi,BR,297.67,-3.2778,-39.2689,janelas do mar
277,toora-khem,RU,254.61,52.4675,96.11, 
278,anadyr,RU,259.43,64.75,177.4833,Отке17.ру — жильё для командированных
279,kisangani,CD,294.47,0.5167,25.2,Grand Ramela Hotel
280,ilulissat,GL,261.16,69.2167,-51.1,Hotel Arctic
281,hasaki,JP,283.31,35.7333,140.8333,Hotel Sunrise Choshi
282,garowe,SO,292.79,8.4054,48.4845,Curubo Hotel
